timestamp,ip,hostname,tld_or_region,expected_countries,actual_country,reason
2026-05-28T12:00:00Z,203.0.113.1,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:00:25Z,203.0.113.6,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:00:55Z,203.0.113.12,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:01:10Z,203.0.113.15,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:01:15Z,203.0.113.16,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:01:25Z,203.0.113.18,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:01:45Z,203.0.113.22,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:02:25Z,203.0.113.30,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:02:40Z,203.0.113.33,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:02:55Z,203.0.113.36,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:03:05Z,203.0.113.38,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:03:15Z,203.0.113.40,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:04:00Z,203.0.113.49,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:04:30Z,203.0.113.55,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:04:35Z,203.0.113.56,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:05:05Z,203.0.113.62,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:05:10Z,203.0.113.63,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:05:15Z,203.0.113.64,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:06:10Z,203.0.113.75,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:06:40Z,203.0.113.81,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:06:50Z,203.0.113.83,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:07:15Z,203.0.113.88,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:10Z,198.51.100.1,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:15Z,198.51.100.2,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:20Z,198.51.100.3,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:25Z,198.51.100.4,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:30Z,198.51.100.5,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:35Z,198.51.100.6,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:40Z,198.51.100.7,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:45Z,198.51.100.8,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:50Z,198.51.100.9,fake.example.jp,jp,JP,US,test_mismatch
2026-05-28T12:10:55Z,198.51.100.10,fake.example.jp,jp,JP,US,test_mismatch
